 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, reg, isBoldDriver, TrainTime, TestTime
0.110569,0.1,0.047967,0.223355,0.447222,1,0.413957,0.449465,0.57169,0.156209,0.19911,0.239677,0.188363,0.272361,0.414313,0.206911,0.235501,0.259363,8,85,0.02,-1,1.00E-04,TRUE,'02:47','00:00'
0.111628,0.101163,0.050969,0.190384,0.446124,1,0.415698,0.443391,0.571588,0.126366,0.173923,0.219842,0.163991,0.255768,0.403483,0.203941,0.237246,0.258868,8,86,0.02,-1,1.00E-04,TRUE,'02:41','00:00'
0.117886,0.123577,0.05376,0.176129,0.517751,1,0.400745,0.402983,0.610852,0.117073,0.181853,0.224133,0.150289,0.280514,0.410848,0.182791,0.235443,0.253127,8,87,0.02,-1,1.00E-04,TRUE,'02:42','00:00'
0.121705,0.112403,0.054264,0.244444,0.45,1,0.393088,0.444894,0.588246,0.131762,0.178913,0.224379,0.182163,0.265279,0.411977,0.217765,0.246741,0.268511,8,88,0.02,-1,1.00E-04,TRUE,'02:34','00:00'
0.104167,0.103333,0.050937,0.220099,0.458611,1,0.462153,0.435243,0.58175,0.152217,0.19689,0.242013,0.181598,0.275555,0.419505,0.19625,0.239263,0.259584,8,89,0.02,-1,1.00E-04,TRUE,'02:50','00:00'
0.1,0.111111,0.055258,0.15391,0.391656,1,0.441468,0.412927,0.555591,0.101677,0.155158,0.204915,0.133905,0.228329,0.389299,0.17705,0.211582,0.236042,8,90,0.02,-1,1.00E-04,TRUE,'02:43','00:00'
0.119048,0.114286,0.052183,0.240022,0.470167,1,0.431548,0.449578,0.575274,0.145313,0.194427,0.238665,0.187925,0.279031,0.415995,0.215675,0.253272,0.271973,8,91,0.02,-1,1.00E-04,TRUE,'02:47','00:00'
0.118182,0.118939,0.052746,0.235523,0.505543,1,0.422664,0.45562,0.610067,0.150314,0.208577,0.248176,0.194922,0.300348,0.431077,0.241667,0.28038,0.299101,8,92,0.02,-1,1.00E-04,TRUE,'02:47','00:00'
0.122222,0.107778,0.054444,0.247868,0.388699,1,0.391358,0.485395,0.574584,0.125341,0.165448,0.217605,0.177237,0.23885,0.401106,0.202407,0.220742,0.245766,8,93,0.02,-1,1.00E-04,TRUE,'02:45','00:00'
0.122222,0.099573,0.052137,0.236159,0.433425,1,0.413105,0.451974,0.559741,0.162513,0.198075,0.243404,0.199126,0.271861,0.422491,0.232123,0.262802,0.283863,8,94,0.02,-1,1.00E-04,TRUE,'02:55','00:00'
0.115315,0.102703,0.052365,0.207248,0.409391,1,0.450826,0.43586,0.569958,0.153019,0.192213,0.239658,0.183431,0.262268,0.419916,0.213964,0.248761,0.272701,8,95,0.02,-1,1.00E-04,TRUE,'03:01','00:00'
0.106818,0.105303,0.05161,0.229428,0.446555,1,0.477588,0.473684,0.578393,0.173415,0.221834,0.266917,0.204393,0.289878,0.435575,0.236616,0.26729,0.289357,8,96,0.02,-1,1.00E-04,TRUE,'02:49','00:00'
0.138211,0.118699,0.05498,0.255718,0.452765,1,0.348238,0.452135,0.582966,0.13392,0.182978,0.228954,0.187522,0.267486,0.414122,0.215854,0.239912,0.26254,8,97,0.02,-1,1.00E-04,TRUE,'02:51','00:00'
0.109302,0.108915,0.057752,0.181039,0.381926,1,0.379199,0.44698,0.511947,0.100679,0.147767,0.200858,0.142149,0.223588,0.384739,0.180297,0.208642,0.230627,8,98,0.02,-1,1.00E-04,TRUE,'02:55','00:00'
0.114394,0.110985,0.054167,0.238049,0.471056,1,0.382891,0.429146,0.601672,0.137858,0.187471,0.234338,0.17916,0.271683,0.415965,0.195644,0.232998,0.252029,8,99,0.02,-1,1.00E-04,TRUE,'02:54','00:00'
0.109167,0.098333,0.053854,0.180408,0.363594,1,0.350347,0.417175,0.531856,0.109517,0.14445,0.196661,0.146862,0.220452,0.388582,0.183889,0.211954,0.235662,8,100,0.02,-1,1.00E-04,TRUE,'03:01','00:00'
0.107937,0.100794,0.051091,0.210969,0.408881,1,0.396825,0.414297,0.560559,0.106064,0.14595,0.192612,0.150446,0.229202,0.382885,0.172024,0.207195,0.227888,8,101,0.02,-1,1.00E-04,TRUE,'03:02','00:00'
0.11746,0.114286,0.051389,0.258215,0.528448,1,0.425265,0.441803,0.609796,0.159446,0.212037,0.252528,0.202506,0.30297,0.429789,0.226455,0.263401,0.28061,8,102,0.02,-1,1.00E-04,TRUE,'03:08','00:00'
0.116296,0.109259,0.049537,0.22556,0.451549,1,0.425926,0.477268,0.589231,0.138403,0.191368,0.232046,0.178611,0.269899,0.410297,0.205309,0.239615,0.262025,8,103,0.02,-1,1.00E-04,TRUE,'03:03','00:00'
0.1125,0.1025,0.055,0.206498,0.418056,1,0.451389,0.454282,0.555129,0.132713,0.179067,0.228331,0.171271,0.25543,0.414972,0.212153,0.247966,0.270647,8,104,0.02,-1,1.00E-04,TRUE,'03:17','00:00'
0.115079,0.101984,0.050893,0.241306,0.468062,1,0.38459,0.428497,0.576051,0.14404,0.184385,0.228125,0.185945,0.269151,0.411497,0.207738,0.239849,0.259343,8,105,0.02,-1,1.00E-04,TRUE,'03:16','00:00'
0.10963,0.09037,0.048426,0.254072,0.406857,1,0.453086,0.489436,0.582444,0.166778,0.197881,0.244517,0.202372,0.263491,0.420289,0.215679,0.240054,0.265223,8,106,0.02,-1,1.00E-04,TRUE,'03:08','00:00'
0.121951,0.104878,0.055488,0.265658,0.456046,1,0.369919,0.441521,0.585612,0.149326,0.188267,0.235996,0.197365,0.271942,0.422044,0.218157,0.245738,0.267104,8,107,0.02,-1,1.00E-04,TRUE,'03:18','00:00'
0.12197,0.106439,0.05322,0.242199,0.489746,1,0.396149,0.424021,0.593035,0.148287,0.190907,0.233742,0.187805,0.278694,0.417739,0.20928,0.247445,0.266544,8,108,0.02,-1,1.00E-04,TRUE,'03:13','00:00'
0.104444,0.104815,0.05213,0.199856,0.38963,1,0.426543,0.452476,0.544234,0.115175,0.164564,0.209154,0.156222,0.235874,0.391879,0.187654,0.212719,0.237527,8,109,0.02,-1,1.00E-04,TRUE,'03:31','00:00'
0.113492,0.105159,0.051091,0.193421,0.452223,1,0.385913,0.416549,0.567248,0.116063,0.16554,0.20719,0.156608,0.252936,0.39451,0.19828,0.2333,0.253328,8,110,0.02,-1,1.00E-04,TRUE,'03:19','00:00'
0.125439,0.114035,0.056798,0.235034,0.412808,1,0.362573,0.453216,0.568329,0.134311,0.17828,0.231944,0.178667,0.253642,0.411703,0.201096,0.226281,0.249013,8,111,0.02,-1,1.00E-04,TRUE,'03:27','00:00'
0.102128,0.08617,0.043085,0.254458,0.456974,1,0.443558,0.459414,0.569769,0.157768,0.191043,0.227594,0.190414,0.263846,0.399442,0.188121,0.219135,0.239852,8,112,0.02,-1,1.00E-04,TRUE,'03:42','00:00'
0.120455,0.104167,0.051989,0.291406,0.500272,1,0.435922,0.427925,0.616394,0.178885,0.214296,0.25794,0.219528,0.298135,0.435846,0.221023,0.25607,0.274346,8,113,0.02,-1,1.00E-04,TRUE,'03:28','00:00'
0.120155,0.094574,0.047384,0.257965,0.404671,1,0.459625,0.511209,0.589614,0.166552,0.202454,0.247232,0.209951,0.266855,0.420679,0.242571,0.259205,0.286551,8,114,0.02,-1,1.00E-04,TRUE,'03:41','00:00'
0.118333,0.109583,0.052187,0.240532,0.477153,1,0.446181,0.455961,0.614838,0.16825,0.218046,0.263424,0.203938,0.295051,0.438091,0.225972,0.26397,0.284925,8,115,0.02,-1,1.00E-04,TRUE,'03:32','00:00'
0.116667,0.113492,0.05496,0.189683,0.471334,1,0.399802,0.39666,0.569769,0.128936,0.182583,0.227776,0.167776,0.273096,0.416664,0.218122,0.255447,0.27527,8,116,0.02,-1,1.00E-04,TRUE,'03:27','00:00'
0.09127,0.097619,0.049504,0.154667,0.415967,1,0.477183,0.429205,0.547576,0.121254,0.172306,0.213575,0.142891,0.240625,0.390994,0.16918,0.206318,0.232156,8,117,0.02,-1,1.00E-04,TRUE,'03:39','00:00'
0.098485,0.096591,0.049716,0.224403,0.416925,1,0.462437,0.446068,0.536829,0.134378,0.175006,0.218278,0.16601,0.243518,0.393155,0.165593,0.200643,0.222696,8,118,0.02,-1,1.00E-04,TRUE,'03:36','00:00'
0.101449,0.097826,0.049185,0.206719,0.452059,1,0.458333,0.445954,0.572998,0.143792,0.191024,0.23386,0.174047,0.26647,0.410409,0.195229,0.233569,0.254567,8,119,0.02,-1,1.00E-04,TRUE,'03:35','00:00'
0.128148,0.098519,0.049815,0.256285,0.385291,1,0.454012,0.514814,0.553415,0.186887,0.221077,0.265048,0.224251,0.278476,0.434078,0.262284,0.279522,0.30421,8,120,0.02,-1,1.00E-04,TRUE,'03:32','00:00'
0.103876,0.109302,0.055039,0.184336,0.390615,1,0.444767,0.424769,0.55255,0.132678,0.179932,0.230725,0.164805,0.250918,0.411749,0.200452,0.235871,0.258064,8,121,0.02,-1,1.00E-04,TRUE,'03:37','00:00'
0.117073,0.106911,0.05122,0.210579,0.43314,1,0.39939,0.431068,0.557404,0.128625,0.174707,0.217497,0.16621,0.250821,0.397542,0.182927,0.214766,0.237415,8,122,0.02,-1,1.00E-04,TRUE,'03:52','00:00'
