 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, reg, isBoldDriver, TrainTime, TestTime,
0.098519,0.084074,0.049907,0.165177,0.279710,1.000000,0.441667,0.495414,0.511875,0.102677,0.136293,0.187165,0.137964,0.188035,0.371169,0.175494,0.191239,0.224696,8,53,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.089630,0.082963,0.048148,0.156145,0.310993,1.000000,0.449074,0.439690,0.489278,0.106750,0.137704,0.186610,0.131268,0.192925,0.367157,0.153951,0.179347,0.208931,8,54,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.085366,0.086179,0.054167,0.137376,0.260540,1.000000,0.477304,0.456607,0.446494,0.109259,0.146582,0.197708,0.131072,0.187953,0.377375,0.166802,0.190715,0.222042,8,55,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.112037,0.093981,0.057060,0.175536,0.293706,1.000000,0.410880,0.448100,0.442317,0.130246,0.162531,0.213132,0.162412,0.214038,0.394937,0.211651,0.231840,0.256603,8,56,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.120000,0.101250,0.057812,0.244603,0.384464,1.000000,0.400694,0.459226,0.521393,0.166052,0.198176,0.247315,0.202806,0.261921,0.427323,0.231944,0.253315,0.277761,8,57,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.089431,0.082927,0.047967,0.165887,0.344076,1.000000,0.463753,0.467129,0.506727,0.116079,0.152426,0.200112,0.143638,0.210853,0.378191,0.174593,0.200776,0.229322,8,58,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.117460,0.098810,0.047321,0.293348,0.524272,1.000000,0.434524,0.471584,0.619669,0.169456,0.210838,0.249411,0.213121,0.298320,0.426453,0.220701,0.254957,0.275210,8,59,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.091870,0.078049,0.050508,0.193736,0.302852,1.000000,0.427168,0.453663,0.482475,0.108946,0.133303,0.185596,0.147078,0.192426,0.374282,0.175407,0.194364,0.222425,8,60,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.126496,0.116239,0.058654,0.228476,0.448647,1.000000,0.368946,0.422168,0.580472,0.124070,0.171723,0.223590,0.171491,0.258892,0.413072,0.204772,0.238694,0.258622,8,61,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.107317,0.090244,0.050000,0.195132,0.377663,1.000000,0.427846,0.454551,0.518033,0.122388,0.156027,0.203406,0.158811,0.227991,0.389034,0.181843,0.210918,0.234042,8,62,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.106838,0.100000,0.057799,0.162668,0.338991,1.000000,0.396724,0.413008,0.480545,0.103477,0.144589,0.195155,0.137148,0.208350,0.381151,0.170370,0.194253,0.219228,8,63,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.082906,0.084615,0.052885,0.093281,0.269302,1.000000,0.400641,0.410871,0.450502,0.059755,0.100602,0.153172,0.084236,0.155021,0.342493,0.120940,0.148708,0.179161,8,64,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.115000,0.099583,0.055208,0.214236,0.352956,1.000000,0.445139,0.472251,0.507984,0.134360,0.170212,0.219756,0.172723,0.230116,0.398034,0.197708,0.220291,0.245674,8,65,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.081061,0.081818,0.049432,0.100816,0.262190,1.000000,0.468434,0.467487,0.445621,0.083621,0.125720,0.172300,0.104976,0.171206,0.352974,0.147980,0.170908,0.203499,8,66,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.120000,0.097500,0.053750,0.241023,0.369513,1.000000,0.435069,0.494268,0.509295,0.159264,0.193541,0.240343,0.196905,0.249425,0.412262,0.222014,0.239039,0.265022,8,67,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.092683,0.096341,0.050915,0.167409,0.380236,1.000000,0.413618,0.421381,0.518977,0.076360,0.125038,0.169050,0.111219,0.195859,0.355347,0.116463,0.150615,0.176795,8,68,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.099225,0.102326,0.057655,0.151864,0.333013,1.000000,0.437661,0.468069,0.512854,0.099254,0.148192,0.202429,0.136270,0.214338,0.390667,0.198902,0.227175,0.254931,8,69,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.117460,0.103968,0.049504,0.230647,0.425926,1.000000,0.455688,0.494882,0.549019,0.136026,0.184396,0.224644,0.182573,0.260513,0.404872,0.219643,0.245799,0.268747,8,70,0.02,-1.0,1.0E-4,true,'00:00','00:00',
