 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, regB, regU, regI, regC, isBoldDriver, TrainTime, TestTime,
0.115152,0.100379,0.058144,0.193614,0.338442,1.000000,0.387942,0.486028,0.484854,0.116259,0.155665,0.210098,0.158599,0.219955,0.394356,0.196023,0.215962,0.240542,8,41,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.141463,0.104472,0.056199,0.236263,0.319088,1.000000,0.394648,0.524076,0.440154,0.150393,0.180753,0.227936,0.209490,0.248054,0.415491,0.295935,0.303510,0.322479,8,42,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.116667,0.092063,0.051091,0.232080,0.394841,1.000000,0.416336,0.459947,0.522843,0.134141,0.165084,0.209522,0.175847,0.237238,0.395493,0.200132,0.225663,0.249423,8,43,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.090351,0.070614,0.048136,0.168713,0.304386,1.000000,0.442251,0.439806,0.470090,0.102934,0.124625,0.174949,0.130976,0.180120,0.361347,0.147807,0.167154,0.198596,8,44,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.112500,0.084167,0.053542,0.180913,0.291478,1.000000,0.420833,0.498008,0.443999,0.125587,0.154436,0.203654,0.163309,0.209260,0.389976,0.217361,0.234251,0.260346,8,45,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.092248,0.085659,0.047868,0.180156,0.322222,1.000000,0.453488,0.452573,0.483904,0.104316,0.139524,0.186431,0.139874,0.200022,0.368658,0.173579,0.197825,0.224104,8,46,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.123485,0.098106,0.051515,0.277483,0.393056,1.000000,0.428977,0.527116,0.533994,0.164815,0.201414,0.243982,0.214436,0.265116,0.420611,0.246212,0.258918,0.283456,8,47,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.106306,0.091892,0.054955,0.185110,0.301201,1.000000,0.428303,0.470216,0.456467,0.100726,0.136029,0.184930,0.140515,0.192814,0.372860,0.169970,0.188263,0.216919,8,48,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.104444,0.092222,0.049444,0.232214,0.375513,1.000000,0.439198,0.452693,0.509649,0.125054,0.159604,0.203124,0.164732,0.223681,0.380772,0.171852,0.195024,0.219331,8,49,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.108730,0.096825,0.049107,0.226833,0.455225,1.000000,0.410384,0.425178,0.574042,0.131446,0.169723,0.213203,0.166209,0.250459,0.395145,0.166534,0.203450,0.225703,8,50,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.097778,0.081852,0.048796,0.177246,0.332840,1.000000,0.469444,0.481349,0.517622,0.130968,0.165774,0.212789,0.157843,0.217902,0.389824,0.187222,0.210134,0.239290,8,51,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.105185,0.085185,0.053241,0.186996,0.291993,1.000000,0.396605,0.487449,0.487107,0.096677,0.128887,0.179925,0.138338,0.184039,0.367899,0.159321,0.174782,0.204161,8,52,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.111905,0.095635,0.053274,0.205393,0.386117,1.000000,0.409392,0.428682,0.501573,0.126122,0.159975,0.206063,0.169789,0.239722,0.398190,0.224603,0.255441,0.273554,8,53,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.118605,0.098837,0.052810,0.234118,0.390264,1.000000,0.389535,0.454984,0.561362,0.115919,0.152060,0.203097,0.165436,0.228580,0.390713,0.186693,0.210760,0.235320,8,54,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
